PRECINCTID20,PRES20R,PRES20L,PRES20D,SEN20R,SEN20L,SEN20D,CONG20R,CONG20L,CONG20D,STSEN20R,STSEN20D
720057,201,5,102,194,11,97,0,0,0,0,0
720058,219,5,111,207,12,111,0,0,0,0,0
720059,233,7,168,225,11,165,0,0,0,0,0
720060,269,19,340,253,23,338,0,0,0,0,0
720061,379,12,383,370,19,364,0,0,0,0,0
720062,530,21,427,526,23,426,0,0,0,0,0
720063,170,11,189,157,10,193,0,0,0,0,0
720064,321,18,357,304,25,355,0,0,0,0,0
720065,434,9,263,451,8,257,0,0,0,0,0
720066,332,7,230,346,2,219,0,0,0,0,0
720067,326,20,235,334,11,240,0,0,0,0,0
720068,242,15,244,230,21,237,0,0,0,0,0
720069,601,33,468,583,35,471,0,0,0,0,0
720070,125,8,99,124,8,93,0,0,0,0,0
720071,741,17,460,729,24,467,0,0,0,0,0
720072,304,12,208,301,15,206,0,0,0,0,0
720073,308,8,196,314,8,187,0,0,0,0,0
720074,447,20,282,447,16,281,0,0,0,0,0
720075,207,18,277,202,15,279,0,0,0,0,0
720076,320,17,338,295,25,348,0,0,0,0,0
720077,358,24,348,346,23,348,0,0,0,0,0
720078,467,20,368,433,30,369,0,0,0,0,0
720079,407,17,394,400,19,395,0,0,0,0,0
720080,88,4,81,85,6,77,0,0,0,0,0
720081,412,13,370,389,21,383,0,0,0,0,0
720082,297,12,264,285,24,260,0,0,0,0,0
720083,284,13,314,270,20,318,0,0,0,0,0
720084,276,8,202,283,4,204,0,0,0,0,0
720085,121,7,156,115,7,164,0,0,0,0,0
720086,430,21,280,411,21,276,0,0,0,0,0
720087,350,10,292,339,20,286,0,0,0,0,0
720088,96,6,107,98,7,101,0,0,0,0,0
720089,178,15,194,166,14,200,0,0,0,0,0
720090,158,8,166,148,12,159,0,0,0,0,0
720091,238,16,290,230,16,276,0,0,0,0,0
720092,226,12,203,208,12,203,0,0,0,0,0
720093,261,11,164,254,12,156,0,0,0,0,0
720094,394,12,231,384,10,232,0,0,0,0,0
720095,373,13,219,350,26,216,0,0,0,0,0
720096,250,10,181,242,15,176,0,0,0,0,0
720097,371,17,364,352,23,358,0,0,0,0,0
720098,251,9,234,238,9,230,0,0,0,0,0
720099,213,11,204,200,8,199,0,0,0,0,0
720100,136,9,113,135,6,113,0,0,0,0,0
720101,426,16,422,403,19,416,0,0,0,0,0
720102,340,5,309,329,15,298,0,0,0,0,0
720103,293,12,201,268,18,202,0,0,0,0,0
720104,281,14,212,269,14,212,0,0,0,0,0
720105,329,16,319,310,19,321,0,0,0,0,0
720106,332,16,249,320,23,249,0,0,0,0,0
720107,392,12,350,383,16,340,0,0,0,0,0
720108,268,14,225,255,16,223,0,0,0,0,0
720109,186,9,188,175,16,177,0,0,0,0,0
720110,314,13,316,307,11,315,0,0,0,0,0
720111,218,8,226,215,9,218,0,0,0,0,0
720112,316,21,305,299,30,296,0,0,0,0,0
720113,340,17,245,316,25,240,0,0,0,0,0
720114,185,7,170,178,8,167,0,0,0,0,0
720115,318,8,133,320,7,125,0,0,0,0,0
720116,449,5,156,446,9,149,0,0,0,0,0
720117,817,29,359,798,49,344,0,0,0,0,0
720118,807,13,295,778,35,286,0,0,0,0,0
720119,525,13,163,516,20,161,0,0,0,0,0
720120,361,20,230,344,22,228,0,0,0,0,0
720121,386,17,324,376,21,309,0,0,0,0,0
720122,217,11,108,214,5,109,0,0,0,0,0
720123,536,13,327,506,20,325,0,0,0,0,0
720124,470,13,190,445,20,196,0,0,0,0,0
720125,401,18,226,391,13,238,0,0,0,0,0
720126,456,6,222,447,10,217,0,0,0,0,0
720127,286,12,159,270,16,156,0,0,0,0,0
720128,455,19,367,441,23,359,0,0,0,0,0
720129,402,25,241,385,28,246,0,0,0,0,0
720130,399,12,300,388,10,304,0,0,0,0,0
720131,79,5,141,75,9,130,0,0,0,0,0
720132,431,9,251,431,10,244,0,0,0,0,0
720133,428,10,261,411,13,262,0,0,0,0,0
720134,510,14,250,489,19,256,0,0,0,0,0
720135,789,25,363,755,28,374,0,0,0,0,0
